Date,open,high,low,close,"XAU/USD(Open, Bid)*","XAU/USD(High, Bid)*","XAU/USD(Low, Bid)*","XAU/USD(Close, Bid)*"
23//2017:00:00,1291.34,1291.36,1290.86,1290.94,1290.92,1290.93,1290.48,1290.54
23//2017:00:00,1291.54,1291.55,1291.27,1291.35,1291.12,1291.14,1290.86,1290.93
23//2017:00:00,1291.35,1291.65,1291.34,1291.54,1290.95,1291.25,1290.90,1291.13
23//2017:00:00,1291.38,1291.41,1291.10,1291.35,1290.94,1290.95,1290.66,1290.93
23//2017:00:00,1292.75,1292.75,1291.14,1291.39,1291.15,1291.71,1290.68,1290.94
23//2017:00:00,1291.69,1291.69,1291.60,1291.60,1290.60,1290.68,1290.60,1290.68
23//2017:00:00,1291.69,1292.05,1291.60,1291.60,1290.60,1290.68,1290.25,1290.68
23//2017:00:00,1291.60,1291.60,1291.57,1291.58,1290.80,1290.83,1290.78,1290.78
23//2017:00:00,1291.47,1291.65,1291.47,1291.56,1290.79,1290.96,1290.73,1290.79
23//2017:00:00,1291.54,1291.77,1291.39,1291.47,1291.07,1291.13,1290.87,1290.87
23//2017:00:00,1291.45,1291.79,1291.12,1291.53,1290.92,1291.31,1290.79,1291.06
23//2017:00:00,1291.17,1291.54,1291.17,1291.46,1290.78,1291.15,1290.76,1290.93
23//2017:00:00,1291.52,1291.60,1291.15,1291.15,1291.13,1291.20,1290.75,1290.76
23//2017:00:00,1291.43,1291.59,1291.39,1291.51,1291.04,1291.18,1290.97,1291.12
23//2017:00:00,1291.14,1291.48,1291.07,1291.42,1290.75,1291.08,1290.68,1291.03
23//2017:00:00,1291.30,1291.35,1291.10,1291.15,1290.88,1290.96,1290.71,1290.76
23//2017:00:00,1291.35,1291.38,1291.25,1291.31,1290.96,1290.99,1290.86,1290.89
23//2017:00:00,1291.54,1291.54,1291.34,1291.34,1291.15,1291.15,1290.95,1290.95
23//2017:00:00,1291.55,1291.57,1291.42,1291.55,1291.16,1291.18,1291.03,1291.16
23//2017:00:00,1291.51,1291.56,1291.42,1291.56,1291.11,1291.17,1291.03,1291.17
23//2017:00:00,1291.42,1291.56,1291.42,1291.52,1291.03,1291.17,1291.03,1291.12
23//2017:00:00,1291.59,1291.60,1291.42,1291.43,1291.17,1291.18,1291.03,1291.04
23//2017:00:00,1291.51,1291.60,1291.44,1291.60,1291.12,1291.20,1291.05,1291.18
23//2017:00:00,1291.70,1291.79,1291.51,1291.52,1291.29,1291.40,1291.12,1291.13
23//2017:00:00,1291.68,1291.77,1291.62,1291.71,1291.29,1291.36,1291.17,1291.30
23//2017:00:00,1291.62,1291.72,1291.45,1291.69,1291.23,1291.31,1291.06,1291.30
23//2017:00:00,1291.52,1291.76,1291.47,1291.63,1291.13,1291.37,1291.08,1291.24
23//2017:00:00,1291.56,1291.67,1291.46,1291.51,1291.17,1291.28,1291.07,1291.12
23//2017:00:00,1291.62,1291.66,1291.43,1291.54,1291.23,1291.27,1291.04,1291.15
23//2017:00:00,1291.25,1291.68,1291.24,1291.61,1290.86,1291.29,1290.85,1291.22
23//2017:00:00,1291.23,1291.36,1290.94,1291.27,1290.83,1290.97,1290.55,1290.88
23//2017:00:00,1291.27,1291.56,1291.16,1291.22,1290.94,1291.18,1290.77,1290.82
23//2017:00:00,1291.56,1291.67,1291.27,1291.27,1291.17,1291.30,1290.90,1290.92
23//2017:00:00,1291.57,1291.80,1291.32,1291.56,1291.18,1291.41,1290.95,1291.18
23//2017:00:00,1291.91,1292.13,1290.76,1291.56,1291.55,1291.78,1290.28,1291.17
23//2017:00:00,1291.75,1291.97,1291.74,1291.90,1291.37,1291.60,1291.37,1291.55
23//2017:00:00,1292.10,1292.17,1291.69,1291.76,1291.77,1291.80,1291.34,1291.37
23//2017:00:00,1291.98,1292.24,1291.80,1292.11,1291.58,1291.87,1291.44,1291.77
23//2017:00:00,1292.00,1292.04,1291.90,1291.98,1291.61,1291.66,1291.51,1291.60
23//2017:00:00,1291.99,1292.00,1291.82,1291.99,1291.64,1291.65,1291.43,1291.60
23//2017:00:00,1291.86,1292.02,1291.73,1291.98,1291.54,1291.68,1291.35,1291.64
23//2017:00:00,1292.06,1292.20,1291.59,1291.87,1291.70,1291.81,1291.24,1291.54
23//2017:00:00,1291.61,1292.20,1291.55,1292.04,1291.25,1291.83,1291.16,1291.67
23//2017:00:00,1291.01,1291.74,1290.69,1291.62,1290.62,1291.36,1290.30,1291.25
23//2017:00:00,1291.45,1291.67,1289.23,1291.02,1291.08,1291.18,1288.84,1290.63
23//2017:00:00,1291.36,1291.47,1291.10,1291.44,1291.00,1291.09,1290.73,1291.08
